Priority_Rank,PSR_id,min_latitude,max_latitude,min_longitude,max_longitude,avg_temp,highest_temp,Ice_Stable_percentage,Approx_area_km2,Approx_diameter_km,Thermal_Stability_Index
1,169,-88.6374,-87.3493,27.2857,63.7887,43.36,68.58,100.0,5136.48,80.87,25.22
2,132,-88.1035,-86.8624,-17.8828,12.6002,40.06,63.7,100.0,4759.48,77.85,23.64
3,226,-87.6271,-86.6267,74.1331,94.2282,45.26,70.5,100.0,3132.0,63.15,25.24
4,113,-87.1976,-86.1227,14.0362,34.9058,38.46,62.03,100.0,2278.82,53.87,23.57
5,92,-84.8483,-84.0366,-52.9444,-40.9901,47.49,66.79,100.0,1813.08,48.05,19.3
6,254,-88.3503,-87.6447,102.6939,127.5264,47.12,70.83,100.0,1131.0,37.95,23.71
7,174,-87.8259,-87.1721,-52.3467,-41.8529,46.88,81.21,100.0,535.34,26.11,34.33
8,138,-85.6498,-84.9904,-55.8558,-49.3369,47.88,83.84,100.0,502.28,25.29,35.95
9,273,-88.8933,-88.5526,158.9625,177.0981,44.33,73.6,100.0,435.0,23.53,29.26
